Player,GS,Cmp%_zscore,Yds_zscore,Y/G_zscore,TD%_zscore,Int%_zscore,Sk%_zscore,Rate_zscore,ANY/A_zscore
Jay Cutler,153,0.32,0.66,0.51,0.46,0.1,-0.15,0.3,0.27
Jay Fiedler,60,0.17,0.26,0.09,0.27,0.27,-0.3,0.13,0.22
Jay Schroeder,99,-0.53,0.53,0.35,0.23,-0.1,-0.21,0.07,0.42
Jeff Blake,100,0.0,0.59,0.53,0.28,-0.21,-0.05,0.24,0.26
Jeff Carlson,3,-2.31,-1.17,-0.82,-0.85,1.26,-0.06,-1.94,-1.33
Jeff Christensen,2,-1.07,-0.78,-0.63,-0.91,0.39,-0.11,-1.29,-0.84
Jeff Driskel,8,-0.63,-0.89,-0.64,-0.29,-0.37,0.35,-0.33,-0.42
Jeff Garcia,116,0.63,0.66,0.52,0.43,-0.7,-0.68,0.76,0.79
Jeff George,124,0.26,0.8,0.81,0.14,-0.33,0.29,0.35,0.23
Jeff Hostetler,83,0.28,0.44,0.29,0.26,-0.35,0.38,0.49,0.45
Jeff Kemp,22,-0.31,-0.09,-0.3,0.47,-0.35,-0.41,0.44,0.6
Jeff Rutledge,9,-0.49,-0.4,0.31,-0.62,0.39,0.07,-0.64,-0.34
Jeff Tuel,1,-3.32,-1.59,-1.18,-1.46,1.6,-1.32,-2.47,-1.78
Jeff Van Raaphorst,1,0.11,-0.9,-0.8,-0.53,0.66,-0.08,-0.81,-0.84
Jerry Golsteyn,3,-1.49,-1.15,-0.8,-1.29,-1.49,-0.46,-0.96,-0.52
Jesse Palmer,3,-0.95,-1.04,-1.26,-0.58,0.02,1.41,-0.93,-1.27
Jim Crocicchia,1,-1.21,-0.99,-0.77,0.67,-1.57,0.52,0.5,0.32
Jim Druckenmiller,1,-2.18,-1.31,-1.78,-0.82,1.61,-0.24,-1.98,-1.74
Jim Everett,153,0.35,1.3,1.01,0.25,-0.15,-0.69,0.35,0.46
Jim Harbaugh,140,0.48,0.36,0.03,-0.19,-0.35,0.39,0.28,0.14
Jim Hart,3,-0.3,-1.11,-0.64,-0.01,2.63,1.36,-1.18,-1.35
Jim Kelly,160,0.75,1.26,1.01,0.68,-0.08,-0.33,0.71,0.64
Jim McMahon,97,0.49,0.08,0.18,0.08,-0.36,0.02,0.43,0.41
Jim Miller,27,0.1,-0.16,0.05,-0.17,-0.59,-1.18,0.08,0.19
Jim Plunkett,39,0.5,0.41,0.74,0.41,0.07,0.2,0.5,0.39
Jim Zorn,21,-1.04,-0.43,-0.82,-0.41,-0.16,-0.66,-0.7,-0.39
Jimmy Clausen,11,-0.88,-0.38,-0.95,-1.3,-0.27,0.88,-0.87,-0.83
Jimmy Garoppolo,26,0.94,0.4,0.52,0.78,-0.03,-0.14,0.95,0.94
Joe Dufek,5,-0.91,-0.74,0.19,-0.63,0.29,-0.71,-1.01,-0.82
Joe Ferguson,44,-0.17,0.24,0.14,-0.04,0.33,-0.73,-0.5,-0.55
Joe Flacco,171,0.22,0.75,0.51,-0.07,-0.35,-0.34,0.15,0.12
Joe Montana,140,1.27,1.33,1.28,0.68,-0.81,-0.68,1.25,1.12
Joe Pisarcik,3,-0.07,-0.58,-0.07,-1.2,-0.99,0.89,-0.05,-0.31
Joe Theismann,52,0.71,0.96,0.72,0.38,-0.56,0.14,0.8,0.43
Joe Webb,2,0.4,-1.0,-1.17,-1.96,-0.12,0.45,-0.75,-0.77
Joey Harrington,76,-0.27,0.43,0.14,-0.32,-0.03,-0.66,-0.37,-0.3
John Beck,7,-0.22,-0.91,-0.49,-1.28,-0.21,0.78,-0.7,-0.84
John Elway,231,0.24,1.25,0.98,0.22,-0.39,-0.26,0.44,0.49
John Fourcade,11,-0.71,-0.69,-0.35,-0.02,0.62,-0.22,-0.36,-0.1
John Friesz,38,-0.26,0.05,-0.13,-0.11,-0.3,-0.54,-0.0,0.16
John Navarre,1,-1.88,-1.25,-0.11,-0.75,3.13,-1.61,-2.64,-2.55
John Reaves,2,-1.47,-0.99,-1.42,0.55,-1.57,-0.44,0.2,0.3
John Skelton,17,-1.09,-0.64,-0.18,-0.8,0.75,0.08,-1.08,-0.88
John Witkowski,1,-2.71,-1.22,-1.24,-2.16,-1.59,4.03,-0.64,-0.75
