Player,GS,Cmp%_zscore,Yds_zscore,Y/G_zscore,TD%_zscore,Int%_zscore,Sk%_zscore,Rate_zscore,ANY/A_zscore
Tim Rattay,18,0.4,-0.41,0.22,0.25,-0.0,0.42,0.27,0.13
Tim Tebow,14,-1.99,-0.45,-1.06,0.5,-0.43,1.08,-0.21,-0.05
Timm Rosenbach,20,-0.18,0.61,0.23,-0.52,0.25,0.25,-0.36,-0.22
Todd Blackledge,29,-1.05,-0.5,-0.41,-0.34,0.1,-0.2,-0.69,-0.49
Todd Bouman,7,-0.36,-0.98,-0.89,0.92,0.96,-0.8,0.04,0.34
Todd Collins,21,-0.17,-0.08,-0.14,-0.16,0.05,0.43,-0.07,-0.17
Todd Hons,3,-0.52,-0.52,0.54,0.26,0.47,0.05,-0.43,-0.37
Todd Marinovich,8,-0.88,-0.51,0.39,-0.07,0.34,0.31,-0.4,-0.19
Todd Philcox,5,-1.48,-0.97,-0.32,0.95,1.14,-0.49,-0.72,-0.34
Tom Brady,283,0.71,1.35,1.09,0.89,-0.79,-0.65,1.04,1.04
Tom Flick,3,-1.69,-1.13,-1.6,-0.75,2.63,-0.15,-2.58,-2.5
Tom Hodson,12,-0.16,-0.88,-0.94,-0.86,-0.21,1.05,-0.47,-0.78
Tom Ramsey,5,-0.32,-0.59,-1.07,-0.53,0.48,0.05,-0.65,-0.62
Tom Savage,9,-0.59,-0.66,-0.42,-1.21,-0.36,0.34,-0.58,-0.49
Tom Tupa,11,-0.51,0.17,0.43,-0.67,0.06,-0.02,-0.49,-0.24
Tommy Kramer,64,0.09,0.47,0.55,0.45,-0.07,-0.34,0.29,0.39
Tommy Maddox,36,-0.03,0.5,0.1,0.17,0.34,0.06,-0.06,0.0
Tony Adams,3,0.34,-0.47,0.79,-0.37,0.54,1.33,-0.31,-0.57
Tony Banks,78,-0.31,0.45,0.13,-0.19,-0.21,0.34,-0.11,-0.07
Tony Eason,46,0.71,0.56,0.22,0.11,-0.4,0.39,0.54,0.27
Tony Graziani,5,-1.42,-1.07,-1.95,-1.5,0.72,0.13,-1.49,-1.25
Tony Romo,127,1.04,1.07,0.99,1.1,-0.24,-0.41,1.08,1.01
Trent Dilfer,113,-0.2,0.25,0.03,-0.01,0.38,0.13,-0.23,-0.2
Trent Edwards,30,0.34,0.01,-0.06,-0.31,-0.16,0.04,0.11,0.07
Trent Green,113,0.49,1.19,1.06,0.35,-0.26,-0.23,0.6,0.73
Trevor Siemian,25,-0.4,0.31,0.27,-0.23,0.06,0.3,-0.3,-0.29
Troy Aikman,165,0.89,0.81,0.65,-0.09,-0.3,-0.66,0.48,0.51
Troy Smith,8,-1.17,-0.65,-0.1,-0.29,-0.68,0.92,0.08,0.45
Turk Schonert,12,0.72,-0.68,-0.55,-0.78,-0.12,1.16,-0.1,-0.66
Ty Detmer,25,0.26,0.04,0.51,0.01,0.1,-0.19,0.11,0.17
Tyler Palko,4,0.12,-0.92,-0.81,-1.07,0.94,0.17,-1.09,-1.3
Tyler Thigpen,12,-0.65,0.22,-0.01,0.47,-0.25,-0.09,0.02,0.1
Tyrod Taylor,32,-0.13,0.24,-0.19,-0.24,-0.7,0.92,0.22,0.05
Vince Evans,10,-0.35,-0.63,-0.14,0.02,0.44,0.0,-0.1,0.17
Vince Ferragamo,33,-0.02,0.41,0.39,-0.32,0.61,-1.04,-0.42,-0.3
Vince Young,50,-0.29,-0.01,-0.48,-0.02,0.23,-0.21,-0.16,0.03
Vinny Testaverde,214,0.1,0.76,0.64,0.24,0.18,-0.47,0.11,0.23
Wade Wilson,69,0.35,0.2,0.21,0.15,0.09,0.18,0.16,0.11
Warren Moon,202,0.46,1.35,1.26,0.28,-0.23,-0.35,0.45,0.48
Will Furrer,2,-2.32,-1.26,-1.46,-1.38,3.05,0.37,-2.7,-2.68
Will Grier,2,-1.36,-1.23,-1.1,-1.8,2.96,0.59,-2.82,-2.56
Willie Totten,1,-1.28,-0.92,-0.93,0.48,0.73,0.75,-0.97,-1.28
Zach Mettenberger,10,-0.29,-0.82,-0.54,-0.36,1.05,0.56,-0.79,-0.92
